Date,Open,High,Low,Close,Adj Close,Volume
2013-09-04,8306.8798828125,8359.9599609375,8250.740234375,8354.4404296875,8354.4404296875,0
2013-09-05,8354.16015625,8489.6103515625,8324.23046875,8462.5498046875,8462.5498046875,0
2013-09-06,8463.919921875,8568.3896484375,8463.919921875,8544.76953125,8544.76953125,0
2013-09-09,8544.7197265625,8756.3798828125,8540.7900390625,8745.25,8745.25,0
2013-09-10,8744.580078125,8886.1201171875,8744.2099609375,8816.740234375,8816.740234375,0
2013-09-11,8817.1904296875,8847.01953125,8728.7998046875,8782.9599609375,8782.9599609375,0
2013-09-12,8782.9599609375,8815.26953125,8654.9599609375,8678.58984375,8678.58984375,0
2013-09-13,8678.7900390625,8745.7197265625,8635.0595703125,8745.3798828125,8745.3798828125,0
2013-09-16,8745.5595703125,8843.2001953125,8745.5595703125,8776.25,8776.25,0
2013-09-17,8776.25,8817.6904296875,8753.76953125,8817.6904296875,8817.6904296875,0
2013-09-18,8817.8203125,9011.5498046875,8760.2001953125,8983.83984375,8983.83984375,0
2013-09-19,8983.83984375,9005.7802734375,8881.349609375,8977.23046875,8977.23046875,0
2013-09-20,8977.1796875,8982.1201171875,8824.5595703125,8826.6298828125,8826.6298828125,0
2013-09-23,8826.6298828125,8904.099609375,8824.5,8891.8798828125,8891.8798828125,0
2013-09-24,8891.8798828125,8919.2099609375,8828.51953125,8856.51953125,8856.51953125,0
2013-09-25,8856.3896484375,8878.3203125,8781.6103515625,8846.509765625,8846.509765625,0
2013-09-26,8847.0703125,8881.259765625,8800.080078125,8845.650390625,8845.650390625,0
2013-09-27,8845.5498046875,8927.0400390625,8825.740234375,8883.33984375,8883.33984375,0
2013-09-30,8883.08984375,8883.08984375,8688.599609375,8695.83984375,8695.83984375,0
2013-10-01,8696.490234375,8825.3203125,8664.2099609375,8825.3203125,8825.3203125,0
2013-10-02,8824.1904296875,8851.650390625,8778.1796875,8818.6904296875,8818.6904296875,0
2013-10-03,8818.9697265625,8851.76953125,8715.400390625,8743.9599609375,8743.9599609375,0
2013-10-04,8743.91015625,8822.490234375,8696.8095703125,8809.5595703125,8809.5595703125,0
2013-10-07,8807.0302734375,8824.8095703125,8739.73046875,8788.9501953125,8788.9501953125,0
2013-10-08,8788.8603515625,8802.6396484375,8678.7900390625,8727.400390625,8727.400390625,0
2013-10-09,8728.3896484375,8781.5498046875,8680.759765625,8752.75,8752.75,0
2013-10-10,8753.23046875,8829.5302734375,8736.8095703125,8827.259765625,8827.259765625,0
2013-10-11,8826.7001953125,8869.1298828125,8782.2197265625,8860.6103515625,8860.6103515625,0
2013-10-14,8858.98046875,8997.5703125,8798.6103515625,8981.23046875,8981.23046875,0
2013-10-15,8981.48046875,9009.4599609375,8951.150390625,8986.5302734375,8986.5302734375,0
2013-10-16,8988.4501953125,9077.169921875,8949.66015625,8999.76953125,8999.76953125,0
2013-10-17,8998.0,9047.9697265625,8973.4599609375,9021.2900390625,9021.2900390625,0
2013-10-18,9021.330078125,9101.2802734375,9000.6904296875,9046.3603515625,9046.3603515625,0
2013-10-21,9046.400390625,9123.759765625,9016.599609375,9123.73046875,9123.73046875,0
2013-10-22,9124.5400390625,9221.9404296875,9092.0703125,9181.8896484375,9181.8896484375,0
2013-10-23,9181.7802734375,9182.2001953125,9056.6298828125,9056.6796875,9056.6796875,0
2013-10-24,9056.6796875,9099.509765625,8957.8203125,9029.7099609375,9029.7099609375,0
2013-10-25,9027.75,9059.25,8977.3203125,9009.2998046875,9009.2998046875,0
2013-10-28,9009.23046875,9148.5703125,9009.23046875,9148.16015625,9148.16015625,0
2013-10-29,9148.16015625,9194.849609375,9091.419921875,9143.7099609375,9143.7099609375,0
2013-10-30,9146.4599609375,9182.1201171875,9097.0400390625,9167.01953125,9167.01953125,0
2013-10-31,9168.01953125,9241.4296875,9130.76953125,9231.990234375,9231.990234375,0
2013-11-01,9232.41015625,9251.1904296875,9152.5302734375,9205.7001953125,9205.7001953125,0
2013-11-04,9205.7001953125,9295.01953125,9205.240234375,9290.5595703125,9290.5595703125,0
2013-11-05,9290.3798828125,9307.740234375,9196.6201171875,9215.0595703125,9215.0595703125,0
2013-11-06,9217.580078125,9226.7001953125,9130.6796875,9201.3095703125,9201.3095703125,0
2013-11-07,9203.2802734375,9263.33984375,9070.51953125,9091.6298828125,9091.6298828125,0
2013-11-08,9091.58984375,9097.349609375,8925.6904296875,8986.66015625,8986.66015625,0
2013-11-11,8986.6201171875,9056.9697265625,8956.830078125,9056.9697265625,9056.9697265625,0
2013-11-12,9056.9697265625,9094.650390625,8897.099609375,8921.0400390625,8921.0400390625,0
2013-11-13,8921.6103515625,9002.7998046875,8840.1298828125,8988.3603515625,8988.3603515625,0
2013-11-14,8988.7099609375,9182.990234375,8988.7099609375,9156.4404296875,9156.4404296875,0
2013-11-18,9156.400390625,9287.9404296875,9156.400390625,9287.150390625,9287.150390625,0
2013-11-19,9285.7197265625,9285.7197265625,9068.240234375,9113.6796875,9113.6796875,0
2013-11-21,9112.7802734375,9112.7802734375,8986.23046875,9056.7001953125,9056.7001953125,0
2013-11-22,9056.25,9104.25,8945.8798828125,9036.23046875,9036.23046875,0
2013-11-25,9037.1201171875,9072.6298828125,8905.8896484375,8936.73046875,8936.73046875,0
2013-11-26,8936.0400390625,8977.7900390625,8807.419921875,8815.2197265625,8815.2197265625,0
2013-11-27,8819.1201171875,8931.8603515625,8819.1201171875,8899.169921875,8899.169921875,0
2013-11-28,8900.75,8974.740234375,8857.900390625,8894.3701171875,8894.3701171875,0
2013-11-29,8894.3701171875,9010.7099609375,8894.3701171875,9006.009765625,9006.009765625,0
2013-12-02,9005.650390625,9005.650390625,8775.1201171875,8775.1201171875,8775.1201171875,0
2013-12-03,8773.73046875,8783.48046875,8616.580078125,8640.2998046875,8640.2998046875,0
2013-12-04,8641.75,8701.3798828125,8565.2900390625,8565.2900390625,8565.2900390625,0
2013-12-05,8566.33984375,8688.7197265625,8566.0400390625,8627.23046875,8627.23046875,0
2013-12-06,8627.23046875,8714.0498046875,8592.009765625,8622.8798828125,8622.8798828125,0
2013-12-09,8622.8798828125,8683.4296875,8613.4697265625,8667.009765625,8667.009765625,0
2013-12-10,8667.080078125,8684.75,8614.5703125,8617.48046875,8617.48046875,0
2013-12-11,8616.7900390625,8622.6396484375,8467.25,8467.25,8467.25,0
2013-12-12,8469.990234375,8517.9697265625,8423.1201171875,8466.240234375,8466.240234375,0
